Time,Voltage,gNA,gK,gL
14.699999999999964,-58.7003580716307,5.120754342619157e-07,5.888279458909749e-07,0.0187
14.799999999999963,-58.63414592580605,5.309657246235945e-07,6.054177478883209e-07,0.0187
14.899999999999963,-58.56805731025476,5.505056011520777e-07,6.224009165719843e-07,0.0187
14.999999999999963,-58.50209198798525,5.707155834812296e-07,6.397855478869985e-07,0.0187
15.099999999999962,-58.43624972224478,5.91616773255897e-07,6.575798865486462e-07,0.0187
15.199999999999962,-58.37053027651307,6.132308683791479e-07,6.757923283712795e-07,0.0187
15.299999999999962,-58.3049334144959,6.355801775366869e-07,6.944314226248605e-07,0.0187
15.399999999999961,-58.23945890011848,6.586876350017763e-07,7.135058744194264e-07,0.0187
15.499999999999961,-58.17410649751875,6.825768157239671e-07,7.330245471176944e-07,0.0187
15.59999999999996,-58.10887597104048,7.072719507049454e-07,7.529964647760168e-07,0.0187
15.69999999999996,-58.04376708522631,7.327979426647692e-07,7.734308146138908e-07,0.0187
15.79999999999996,-57.97877960481056,7.59180382001752e-07,7.943369495122357e-07,0.0187
15.89999999999996,-57.913913294711946,7.864455630492318e-07,8.157243905406435e-07,0.0187
15.99999999999996,-57.849167920026126,8.146205006324639e-07,8.376028295138063e-07,0.0187
16.09999999999996,-57.78454324601812,8.437329469288104e-07,8.599821315773326e-07,0.0187
16.19999999999996,-57.72003903811452,8.738114086344151e-07,8.828723378231479e-07,0.0187
16.29999999999996,-57.65565506189563,9.048851644405084e-07,9.062836679346947e-07,0.0187
16.399999999999963,-57.59139108308737,9.369842828224642e-07,9.302265228621249e-07,0.0187
16.499999999999964,-57.527246867553075,9.701396401446945e-07,9.547114875276926e-07,0.0187
16.599999999999966,-57.463222181285026,1.0043829390844677e-06,9.79749333561549e-07,0.0187
16.699999999999967,-57.39931679039598,1.0397467273776767e-06,1.0053510220681365e-06,0.0187
16.79999999999997,-57.335530461110366,1.076264416889542e-06,1.031527706423388e-06,0.0187
16.89999999999997,-57.27186295975544,1.1139703030132612e-06,1.0582907351029254e-06,0.0187
16.99999999999997,-57.20831405275214,1.1528995843994971e-06,1.0856516545414578e-06,0.0187
17.099999999999973,-57.14488350660588,1.1930883830196581e-06,1.1136222120235832e-06,0.0187
17.199999999999974,-57.08157108789709,1.2345737645657855e-06,1.1422143586061813e-06,0.0187
17.299999999999976,-57.018376563271566,1.277393759189936e-06,1.1714402520726066e-06,0.0187
17.399999999999977,-56.95529969943071,1.3215873825858092e-06,1.2013122599188661e-06,0.0187
17.49999999999998,-56.89234026312148,1.3671946574153888e-06,1.23184296237199e-06,0.0187
17.59999999999998,-56.829498021126234,1.4142566350833443e-06,1.2630451554407864e-06,0.0187
17.69999999999998,-56.76677274025229,1.4628154178618172e-06,1.294931853999169e-06,0.0187
17.799999999999983,-56.7041641873214,1.5129141813682917e-06,1.3275162949022688e-06,0.0187
17.899999999999984,-56.641672129158906,1.5645971973990884e-06,1.3608119401355122e-06,0.0187
17.999999999999986,-56.579296332582786,1.6179098571210845e-06,1.3948324799968643e-06,0.0187
18.099999999999987,-56.51703656439241,1.672898694624136e-06,1.4295918363124405e-06,0.0187
18.19999999999999,-56.45489259135718,1.729611410836726e-06,1.4651041656856646e-06,0.0187
18.29999999999999,-56.39286418020486,1.7880968978072065e-06,1.5013838627801932e-06,0.0187
18.39999999999999,-56.33095109760977,1.848405263353065e-06,1.5384455636367758e-06,0.0187
18.499999999999993,-56.269153110180696,1.9105878560805617e-06,1.5763041490242706e-06,0.0187
18.599999999999994,-56.207469984448636,1.974697290777026e-06,1.6149747478249955e-06,0.0187
